neighbourhood,room_type,price
Hyde Park,Private room,60
South Lawndale,Entire home/apt,105
West Town,Entire home/apt,60
Lincoln Park,Entire home/apt,65
Hyde Park,Private room,21
Lincoln Park,Entire home/apt,115
Near North Side,Entire home/apt,99
Lincoln Park,Private room,289
West Town,Entire home/apt,99
Lincoln Park,Entire home/apt,112
Lincoln Park,Entire home/apt,75
Logan Square,Entire home/apt,94
Uptown,Private room,77
Near North Side,Private room,75
Lincoln Park,Entire home/apt,95
West Town,Private room,65
Uptown,Private room,157
West Town,Private room,50
Uptown,Private room,99
Uptown,Private room,35
North Center,Entire home/apt,197
Lincoln Park,Entire home/apt,279
Lake View,Entire home/apt,198
North Center,Entire home/apt,125
Lake View,Entire home/apt,280
Irving Park,Entire home/apt,79
Portage Park,Private room,85
Logan Square,Entire home/apt,201
North Center,Private room,30
Pullman,Entire home/apt,90
Pullman,Entire home/apt,39
West Town,Entire home/apt,99
Logan Square,Private room,79
Uptown,Private room,125
Irving Park,Private room,55
Uptown,Private room,93
Near South Side,Entire home/apt,170
West Ridge,Entire home/apt,48
Near North Side,Entire home/apt,119
Near West Side,Entire home/apt,204
Uptown,Entire home/apt,764
Logan Square,Private room,103
Near West Side,Entire home/apt,156
Edgewater,Private room,26
Logan Square,Private room,145
Bridgeport,Entire home/apt,130
Woodlawn,Private room,47
Bridgeport,Entire home/apt,146
Albany Park,Entire home/apt,85
Kenwood,Private room,85
Lake View,Entire home/apt,128
West Town,Entire home/apt,178
West Town,Entire home/apt,105
West Town,Entire home/apt,175
Near South Side,Private room,119
Logan Square,Entire home/apt,60
Avondale,Shared room,25
Uptown,Entire home/apt,232
Rogers Park,Private room,86
Lincoln Square,Entire home/apt,98
Lake View,Private room,130
Logan Square,Entire home/apt,132
Near South Side,Entire home/apt,495
Grand Boulevard,Entire home/apt,89
Lake View,Entire home/apt,490
West Town,Private room,57
West Town,Private room,78
West Town,Shared room,69
North Center,Private room,43
West Town,Private room,63
Edgewater,Private room,66
Lake View,Entire home/apt,180
West Town,Hotel room,160
West Town,Private room,142
Forest Glen,Private room,60
Forest Glen,Private room,50
West Ridge,Private room,50
Near North Side,Entire home/apt,85
West Town,Private room,39
Lake View,Entire home/apt,106
Logan Square,Private room,70
Logan Square,Entire home/apt,165
Lincoln Square,Entire home/apt,75
Loop,Entire home/apt,130
Logan Square,Entire home/apt,72
Near West Side,Entire home/apt,150
North Center,Private room,78
Uptown,Private room,99
Uptown,Entire home/apt,299
Logan Square,Entire home/apt,204
West Town,Entire home/apt,95
Lincoln Square,Entire home/apt,105
Lake View,Entire home/apt,239
Lincoln Park,Private room,85
Lincoln Park,Entire home/apt,55
Logan Square,Private room,110
Lincoln Park,Entire home/apt,115
East Garfield Park,Private room,101
West Town,Private room,50
West Town,Entire home/apt,146
Rogers Park,Private room,79
Rogers Park,Private room,69
Rogers Park,Private room,69
Rogers Park,Entire home/apt,169
Near North Side,Entire home/apt,85
North Lawndale,Private room,45
North Lawndale,Private room,45
North Lawndale,Private room,45
Lake View,Private room,79
Lake View,Entire home/apt,130
Near South Side,Entire home/apt,21
Uptown,Entire home/apt,55
Rogers Park,Private room,43
East Garfield Park,Entire home/apt,80
Near West Side,Private room,110
Lincoln Park,Entire home/apt,99
Lake View,Entire home/apt,99
Near West Side,Entire home/apt,80
West Town,Entire home/apt,141
Lake View,Private room,70
Lincoln Square,Entire home/apt,130
West Town,Entire home/apt,225
Near West Side,Private room,103
Lincoln Park,Entire home/apt,511
Lincoln Park,Private room,110
Logan Square,Private room,85
Lake View,Hotel room,105
Irving Park,Private room,61
Uptown,Entire home/apt,168
West Town,Private room,39
Oakland,Private room,53
Lincoln Park,Entire home/apt,346
Grand Boulevard,Private room,55
West Ridge,Shared room,21
Lincoln Park,Entire home/apt,105
Lincoln Park,Entire home/apt,401
Loop,Entire home/apt,60
Oakland,Private room,55
Beverly,Private room,49
Lower West Side,Private room,58
Near North Side,Entire home/apt,212
Near North Side,Entire home/apt,354
Logan Square,Entire home/apt,149
Rogers Park,Entire home/apt,96
Lake View,Private room,64
Lower West Side,Entire home/apt,149
Uptown,Private room,70
Chatham,Private room,32
Mckinley Park,Entire home/apt,80
West Town,Entire home/apt,92
West Town,Entire home/apt,76
Rogers Park,Entire home/apt,120
Lake View,Private room,75
West Town,Private room,71
Near North Side,Entire home/apt,153
Hyde Park,Entire home/apt,69
Lake View,Entire home/apt,155
Lower West Side,Private room,70
Lower West Side,Entire home/apt,59
Woodlawn,Private room,59
Hyde Park,Entire home/apt,115
Near West Side,Entire home/apt,140
Lincoln Park,Entire home/apt,182
Rogers Park,Private room,81
Loop,Entire home/apt,229
Avondale,Entire home/apt,49
Near South Side,Entire home/apt,200
Lincoln Park,Private room,107
Lake View,Entire home/apt,349
Lake View,Entire home/apt,249
Lake View,Entire home/apt,349
Logan Square,Private room,75
West Town,Private room,36
Near North Side,Entire home/apt,150
West Ridge,Private room,45
West Town,Entire home/apt,175
Oakland,Private room,63
Lake View,Private room,75
East Garfield Park,Entire home/apt,81
Norwood Park,Entire home/apt,95
Lower West Side,Private room,70
West Town,Entire home/apt,100
Logan Square,Entire home/apt,125
Lincoln Park,Entire home/apt,140
Kenwood,Private room,42
Lake View,Hotel room,108
Lake View,Hotel room,30
West Town,Entire home/apt,114
West Town,Entire home/apt,154
Near West Side,Private room,81
Near West Side,Entire home/apt,150
Lake View,Private room,113
Portage Park,Private room,175
Lower West Side,Private room,60
Lincoln Square,Entire home/apt,80
Hyde Park,Private room,65
Near North Side,Entire home/apt,140
West Town,Entire home/apt,69
Kenwood,Entire home/apt,60
Near North Side,Entire home/apt,225
Near North Side,Entire home/apt,48
Uptown,Private room,48
West Town,Private room,55
East Garfield Park,Private room,30
Washington Park,Private room,80
Lower West Side,Private room,65
Irving Park,Entire home/apt,160
North Lawndale,Private room,45
Humboldt Park,Entire home/apt,45
Near South Side,Entire home/apt,120
West Town,Entire home/apt,93
Kenwood,Private room,35
Hyde Park,Entire home/apt,125
West Ridge,Entire home/apt,136
Lincoln Park,Entire home/apt,161
Uptown,Entire home/apt,975
Loop,Entire home/apt,120
Edgewater,Private room,80
Near South Side,Entire home/apt,200
Near West Side,Private room,87
Logan Square,Entire home/apt,145
Lincoln Park,Entire home/apt,106
Near South Side,Entire home/apt,100
Morgan Park,Entire home/apt,79
Morgan Park,Entire home/apt,89
Rogers Park,Entire home/apt,80
Lincoln Park,Entire home/apt,124
Lake View,Entire home/apt,289
Near South Side,Entire home/apt,200
Dunning,Private room,33
Near South Side,Entire home/apt,135
Near North Side,Entire home/apt,145
North Center,Entire home/apt,119
West Town,Entire home/apt,78
Oakland,Private room,53
West Town,Entire home/apt,172
Loop,Entire home/apt,220
Avondale,Private room,78
Near West Side,Private room,136
West Lawn,Private room,34
West Town,Entire home/apt,159
Lincoln Park,Entire home/apt,200
South Shore,Entire home/apt,70
Near North Side,Private room,100
Logan Square,Entire home/apt,64
Near South Side,Private room,85
Lincoln Square,Entire home/apt,150
Logan Square,Entire home/apt,150
North Center,Entire home/apt,74
Near West Side,Private room,97
Rogers Park,Entire home/apt,130
Lower West Side,Entire home/apt,55
Oakland,Private room,63
Logan Square,Entire home/apt,1157
Albany Park,Entire home/apt,106
Lake View,Private room,181
Edgewater,Entire home/apt,89
Lake View,Entire home/apt,386
Lake View,Private room,70
Lake View,Private room,69
Avondale,Private room,78
West Town,Entire home/apt,279
Lake View,Private room,70
Near West Side,Entire home/apt,299
East Garfield Park,Entire home/apt,82
West Town,Private room,91
Lake View,Entire home/apt,650
Lake View,Private room,70
Lake View,Private room,75
Rogers Park,Private room,48
Lake View,Entire home/apt,375
Lincoln Park,Entire home/apt,62
Hyde Park,Private room,75
Lake View,Entire home/apt,230
Lincoln Park,Entire home/apt,89
West Town,Private room,55
Logan Square,Entire home/apt,50
Loop,Entire home/apt,150
Logan Square,Entire home/apt,130
Edgewater,Private room,39
Lincoln Park,Entire home/apt,199
Rogers Park,Private room,71
Rogers Park,Private room,103
Irving Park,Entire home/apt,69
Edgewater,Entire home/apt,65
Near North Side,Entire home/apt,135
Near North Side,Entire home/apt,263
Rogers Park,Private room,60
Grand Boulevard,Private room,85
Near North Side,Entire home/apt,100
Lake View,Private room,148
Bridgeport,Entire home/apt,65
Humboldt Park,Entire home/apt,86
South Shore,Private room,100
Logan Square,Private room,54
